id_subtask,cliente,cnpj,servico,valorr,ultima_parcela_recorrente,dias_desde,impacto_estimado_rs
86aevwp4p,Munila,16519306000199,Creators Pontual - Starter,0.00,1770692400000,64,0.00
86a7cf3x0,CIMED,16619378000450,Ecommerce,0.00,,0,0.00
86ac77dre,Neophase,16699785000172,E-commerce,0.00,1746414000000,345,0.00
86a2xrf4e,Souza Pet,17558256000111,Implantação CRM,0.00,,0,0.00
86a63kdpx,Audacci,17632650000152,Site,0.00,1752807600000,271,0.00
86a98up6a,Plamev,17745307000114,Creators Pontual,0.00,1749524400000,309,0.00
86a644q7n,MANZ,19770334000172,Gameplan,0.00,1742439600000,391,0.00
86ac6jv43,Fungi,20445841000110,Creators Pontual - Starter,0.00,1764903600000,131,0.00
86a7vkb0v,WOW,21102007000194,Landing Page,0.00,1747710000000,330,0.00
86a63j515,Angel Racing,21627465000147,Ecommerce,0.00,,0,0.00
86abtxau8,Combu,21997441000180,Ecommerce,0.00,1741143600000,406,0.00
86acm9kzm,Lojas Corte Sul,22031691000123,Creators Pontual,0.00,1764039600000,141,0.00
86a7bdw4z,Argalit,22280114000175,Site Institucional,0.00,1762225200000,162,0.00
86a64r79q,Cajuera,22449712000125,Reportana e automações,0.00,1750129200000,302,0.00
86a63hqkd,José Renato Advocacia,22518810000177,Landing Page,0.00,,0,0.00
86a91wjh0,Clinica Raizz,22566412000126,Creators Pontual,0.00,1751252400000,289,0.00
86ac73wga,Ôrker seguros,23414517000122,Creators Pontual - Starter,0.00,1762743600000,156,0.00
86aa5qyuf,Salao Rafa Brasil,23485186000111,Gameplan,0.00,1770606000000,65,0.00
86a6435bn,Tess,23700728000121,Site institucional,0.00,,0,0.00
86ac3mvqd,Central das Cuecas,25088802000126,Creators Pontual,0.00,1762743600000,156,0.00
86ad6qjev,Cultura Inglesa,26658426000120,Personalizado Pontual,0.00,1764903600000,131,0.00
86ab11rfv,Cultura Inglesa,26658426000120,Creators Pontual,0.00,1764903600000,131,0.00
86a696y9v,Base Terminal,26794086000165,Site,0.00,,0,0.00
86a696y9v,Base Terminal,26794086000165,Site,0.00,1743044400000,384,0.00
86a6et2da,Base Terminal,26794086000165,ID Visual,0.00,,0,0.00
86a6et2da,Base Terminal,26794086000165,ID Visual,0.00,1743044400000,384,0.00
86a641c5t,Surf View,26957609000147,Landing Page,0.00,,0,0.00
86a9nkwcz,Disk Limpeza,27109188000167,Site Institucional,0.00,1770692400000,64,0.00
86aaqq1fk,Stone Select,27458553000149,Site Institucional,0.00,1768878000000,85,0.00
86ac74bgj,Casa Boa Vista,27544996000152,CRO Pontual,0.00,1754362800000,253,0.00
86a7pj3dt,4WELL,27777170000133,Creators Pontual,0.00,,0,0.00
86a788rhf,Doutores da Informática,27804737000113,Landing Page,0.00,1758337200000,207,0.00
86aaag42t,GSA,28156297000106,Landing Page,0.00,,0,0.00
86aaag42t,GSA,28156297000106,Landing Page,0.00,1767582000000,100,0.00
86a7uv28n,GSA,28156297000106,Site Institucional,0.00,,0,0.00
86a7uv28n,GSA,28156297000106,Site Institucional,0.00,1767582000000,100,0.00
86a640qtp,Grupo Lima,28267971000111,Site,0.00,1754362800000,253,0.00
86a90uybp,Farmaci,28352012000102,Creators Pontual,0.00,1752548400000,274,0.00
86acdk2gk,Mandi,28483138000108,Creators Pontual,0.00,1766199600000,116,0.00
86a8p27k8,Menozen,28548910000122,CRO Pontual,0.00,1750993200000,292,0.00
86ac04n0v,Go Coffee,28738804000101,Site Institucional,0.00,1764126000000,140,0.00
86adg2mnr,Hud Lab ,28757684000190,Creators Pontual - Starter,0.00,1770001200000,72,0.00
86ac74yhf,Natalia Guarçoni,28922285000137,E-commerce,0.00,1748142000000,325,0.00
86a63xb1q,The Body Store,29843036000119,Ecommerce,0.00,,0,0.00
86ac7hn93,Brazô,29920346000190,Creators Pontual - Starter,0.00,1759633200000,192,0.00
86a643349,Le Kah,30011607000138,Gameplan,0.00,1740625200000,412,0.00
86ac3brj4,Konsi,30145993000150,Creators Pontual - Enterprise,0.00,1759633200000,192,0.00
86a6a65ve,Trustfuel,30222814000131,Implementação de Blog,0.00,1760929200000,177,0.00
86a5v2m7e,Trustfuel,30222814000131,Blog Post,0.00,1760929200000,177,0.00
86a7wh56w,Trustfuel,30222814000131,Dashboard,0.00,1760929200000,177,0.00
86a643x60,Naturelle,30442901000102,Landing Page,0.00,,0,0.00
86a643x60,Naturelle,30442901000102,Landing Page,0.00,,0,0.00
86a643zxa,ProSelf,30998333000112,CRO,0.00,1752980400000,269,0.00
86aeek0hq,Yellow Mango,31009518000110,Creators Pontual - Starter,0.00,1768446000000,90,0.00
86a6kxpjh,Hamish Couros,31240702000176,Gameplan,0.00,1745118000000,360,0.00
86a9xf29y,Sthor,31337424000170,Ecommerce,0.00,1750388400000,299,0.00
86a6uvnpc,Ozean Purificadores,31368701000101,Landing Page,0.00,1756263600000,231,0.00
86adnbyrd,Produtos Juju,31487499000137,Personalizado Pontual,0.00,1765767600000,121,0.00
86a64qd6u,Brennand,31724439000190,Ecommerce,0.00,1737342000000,450,0.00
86a64qd3k,Brennand,31724439000190,CRO,0.00,1737342000000,450,0.00
86a6hpkj0,Móveis Simonetti,31743818000128,Creators Pontual,0.00,1739588400000,424,0.00
86a6hpkhm,Móveis Simonetti,31743818000128,Social Media,0.00,1739588400000,424,0.00
86abcxzz3,Automobile Car Service,32196523000141,Landing Page,0.00,1764903600000,131,0.00
86aba6vg3,Automobile Car Service,32196523000141,Gestão de Performance,0.00,1764903600000,131,0.00
86a8kqfmu,Conasol Fortlev Solar,32270838000272,Landing Page,0.00,1764471600000,136,0.00
86a8kqfqc,Conasol Fortlev Solar,32270838000272,CRM,0.00,1764471600000,136,0.00
86a81dmth,Two-E,32346633000142,Creators Pontual,0.00,,0,0.00
86ac0729w,Winona shop,32442602000195,Creators Pontual - Starter,0.00,1762311600000,161,0.00
86a69t7zc,Papelaria Unicornio,32869990000195,Ecommerce,0.00,1736046000000,465,0.00
86a69t8tu,Papelaria Unicornio,32869990000195,CRO,0.00,1736046000000,465,0.00
86ac74u2f,Time is Money,32873048000109,Implantação de Blog,0.00,,0,0.00
86a8a6wtj,Shop Thais Gois,33040575000197,Social Media,0.00,1757905200000,212,0.00
86adbk2dn,Cookie Cup,33119478000194,Creators Pontual - Starter,0.00,1769310000000,80,0.00
86a64pabf,Vitanuts,33130565000142,CRO,0.00,1755140400000,244,0.00
86a63pgpk,Chiara Café,33493997000118,Landing Page,0.00,1736132400000,464,0.00
86a63ph8b,Chiara Café,33493997000118,Ecommerce,0.00,1736132400000,464,0.00
86a64vu52,Wut Casa,33623795000143,Ecommerce,0.00,1770260400000,69,0.00
86abdnvh5,Madi,33664906000160,E-commerce,0.00,1766199600000,116,0.00
86a7x5d83,Bendita Fit,33744000000155,ID Visual,0.00,1751598000000,285,0.00
86a6kahre,Liftt,34015759000160,Gameplan,0.00,1739329200000,427,0.00
86a8j8ewk,Puridiesel Axion,34505193000154,Creators Pontual,0.00,,0,0.00
86aagurzt,Senhora Vitamina,34554582000170,Creators Pontual,0.00,1754535600000,251,0.00
86a6p8yh3,Nerd Smart Living,34734286000150,Landing Page,0.00,,0,0.00
86a6p8yh3,Nerd Smart Living,34734286000150,Landing Page,0.00,1758078000000,210,0.00
86a6p8yj3,Nerd Smart Living,34734286000150,Automação,0.00,,0,0.00
86a6p8yj3,Nerd Smart Living,34734286000150,Automação,0.00,1758078000000,210,0.00
86adqh2kr,Vaapty,34840903000100,Creators Pontual - Scale,0.00,1765335600000,126,0.00
86a23wpc4,Point 422,35036594000175,ID Visual,0.00,,0,0.00
86a61j76z,Vitascience,35070970000148,Ecommerce,0.00,,0,0.00
86a51g2ca,Vitascience,35070970000148,Creators Enterprise,0.00,,0,0.00
86ad7wpb3,Car2b Seu carro por assinatura,35085686000145,Creators Pontual,0.00,1764558000000,135,0.00
86a30b0pd,Cacow,35305948000130,Creators Scale,0.00,1767409200000,102,0.00
86ac6fqzk,Cacow,35305948000130,Creators Pontual - Scale,0.00,1767409200000,102,0.00
86a680db6,Narte,35552300000168,CRM,0.00,1739588400000,424,0.00
86a63kyhg,Mami Wata,35701610000105,Implantação Checkout,0.00,1754967600000,246,0.00
86aap9306,Vitta Pure,35725203000120,Ecommerce,0.00,1768878000000,85,0.00
86aat93zm,Vitta Pure,35725203000120,5 Rótulos,0.00,1768878000000,85,0.00
86aap930m,Vitta Pure,35725203000120,ID Visual,0.00,1768878000000,85,0.00
86ad8dtbf,Novvo,36420971000138,Creators Pontual - Scale,0.00,1770260400000,69,0.00
86a7p7cx5,Endocommerce,36579750000107,CRM,0.00,1764903600000,131,0.00
86acjfk4w,Endocommerce,36579750000107,CRM - Starter,0.00,1764903600000,131,0.00
86agawz46,Multas.ai,36604519000126,Creators Pontual - Starter,0.00,,0,0.00
86ad19mqc,Blue Bird Crystals,37147661000154,E-commerce,0.00,1770260400000,69,0.00
86a3agfgm,INOV,37200187000187,ID Visual,0.00,1736046000000,465,0.00
86a63j70c,INOV,37200187000187,Landing Page,0.00,1736046000000,465,0.00
86a4h4b3e,Paytour ,37324382000119,Landing Page,0.00,,0,0.00
86a4kb8a3,Ecler Beauty,37519051000134,ID Visual,0.00,,0,0.00
86a64uzjz,Ecler Beauty,37519051000134,Ecommerce,0.00,,0,0.00
86acwfxdb,Raízes do Açaí,37567974000161,Landing Page,0.00,1770692400000,64,0.00
86ad5cwr1,Set you,37590581000179,CRO Pontual,0.00,1770692400000,64,0.00
86a6k7jy0,Phero,37809871000160,Gameplan,0.00,1750215600000,301,0.00
86a7m3nw8,Phero,37809871000160,Creator Medium,0.00,1750215600000,301,0.00
86a640m7u,GRAMA,38779075000195,Ecommerce,0.00,1760929200000,177,0.00
86a3fvh4q,GRAMA,38779075000195,Creators Scale,0.00,1760929200000,177,0.00
86a9pdfty,Proezo,39261596000119,Creators Pontual,0.00,1751425200000,287,0.00
86a64r6wq,Dschool,39267723000197,CRM,0.00,,0,0.00
86a64r6ra,Dschool,39267723000197,Landing Page,0.00,,0,0.00
86a94jdrq,Wonderlev,39299898000186,Creators Pontual,0.00,1752721200000,272,0.00
86a3f5fyb,Loja Byr,39395019000110,Creators Starter,0.00,1744254000000,370,0.00
86a3f5fyb,Loja Byr,39395019000110,Creators Starter,0.00,1745118000000,360,0.00
86ab8f4g8,Da Suzy,39618569000150,Creators Pontual,0.00,1761534000000,170,0.00
86a6jd5v9,Push Pow,39691470000265,Ecommerce,0.00,1747278000000,335,0.00
86ach5u1k,AShow Presente,39767006000124,Escopo Personalizado (Escopo Personalizado),0.00,,0,0.00
86ach5u1k,AShow Presente,39767006000124,Escopo Personalizado (Escopo Personalizado),0.00,1760929200000,177,0.00
86a92f1dr,Sopro,39963224000134,Creators Pontual,0.00,1764471600000,136,0.00
86a8wckbx,Coco Leve,40019982000188,Ecommerce,0.00,1749092400000,314,0.00
86aa38nup,Endogen,40048842000138,Creators Pontual,0.00,1759633200000,192,0.00
86abyzxy4,Solo Snacks,40051319000160,E-commerce,0.00,1770260400000,69,0.00
86ac7586n,Med2Go,40112951000177,Landing Page,0.00,,0,0.00
86ac755tv,Med2Go,40112951000177,Landing Page,0.00,,0,0.00
86a6jechy,Madog,40347949000268,Gameplan,0.00,1750820400000,294,0.00
86ab9amqt,Fabio Bueno,40584858000165,Landing Page,0.00,1764903600000,131,0.00
86ab9amtx,Fabio Bueno,40584858000165,Identidade Visual (Personalizado),0.00,1764903600000,131,0.00
86abacgtb,Fabio Bueno,40584858000165,Rótulo,0.00,1764903600000,131,0.00
86a6yzx0y,Lawe,40610072000175,Ecommerce,0.00,1750388400000,299,0.00
86a4tmhud,Bellagio,40804693000190,Reportana Whatsapp,0.00,1742871600000,386,0.00
86a64ubna,Chanoyu,41516016000139,CRO,0.00,1748228400000,324,0.00
86a894j59,Saver Company,41593226000120,Landing Page,0.00,,0,0.00
86a894j59,Saver Company,41593226000120,Landing Page,0.00,1751598000000,285,0.00
86a5c2g3e,Bendu,41636243000106,Implantação Reportana,0.00,1740452400000,414,0.00
86a64u2by,Carla Lorenzon,41791750000106,Site Institucional,0.00,1744772400000,364,0.00
86ac3f4de,Móveis Movêu,41817025000160,Gameplan,0.00,1765767600000,121,0.00
86a61jyd3,Vinsel,41881776000145,Creators Scale,0.00,,0,0.00
86a3k9r6v,Minimal Club,42034830000180,Creators,0.00,1738724400000,434,0.00
86a4r7z6w,Minimal Club,42034830000180,Creators Agosto (10 vídeos),0.00,1738724400000,434,0.00
86a41h0ea,Minimal Club,42034830000180,Creators Julho (10 vídeos),0.00,1738724400000,434,0.00
86a3m54a9,Minimal Club,42034830000180,Creators Junho (10 vídeos),0.00,1738724400000,434,0.00
86a35a42a,Minimal Club,42034830000180,Creators Scale,0.00,1738724400000,434,0.00
86adrdjbu,Caderno do Concurseiro,42888414000149,Creators Pontual - Starter,0.00,1766372400000,114,0.00
86a63zzbh,Brisa,42892036000177,Ecommerce,0.00,1767582000000,100,0.00
86a1xuj8j,Brisa,42892036000177,Automação Reportana & E-mail,0.00,1767582000000,100,0.00
86a6403gd,Brisa,42892036000177,Design Email e Automações,0.00,1767582000000,100,0.00
86adgnpt2,Gross Hunter,43055392000107,Creator Starter Pontual (Novo modelo),0.00,1769742000000,75,0.00
86a6tnt8x,Brave Sports Nutrition,43728380000198,Creators Pontual,0.00,1750993200000,292,0.00
86a644t5g,Shop Calê,43737720000147,Ecommerce,0.00,1737342000000,450,0.00
86a77k1cn,Flor de Tuna (Tiele),44272694000191,Social Media,0.00,1751684400000,284,0.00
86a8dy8tk,Flor de Tuna (Tiele),44272694000191,Brandbook,0.00,1751684400000,284,0.00
86a64nbf7,Tok Saúde,44423103000130,CRM,0.00,1760497200000,182,0.00
86a64nbdz,Tok Saúde,44423103000130,Landing Page (UI/UX),0.00,1760497200000,182,0.00
86a64nb48,Tok Saúde,44423103000130,Site,0.00,1760497200000,182,0.00
86a641eft,Life's,44634714000127,Creators,0.00,,0,0.00
86a4z5mzb,Lucky Hackers,44887788000175,Lançamento,0.00,1744945200000,362,0.00
86a7mgkvv,Make Beauty Shop,44923379000187,Gameplan,0.00,,0,0.00
86a2q3uga,ALPCE Viagens,45014531000171,ID Visual,0.00,,0,0.00
86a64hea3,Solvee,45086722000149,Landing Page (UI/UX),0.00,1770260400000,69,0.00
86aam2gj6,Dermosec,45580342000166,Automação,0.00,1764903600000,131,0.00
86adeur6m,Galenica,45808169000100,Creators Pontual (Personalizado),0.00,1765854000000,120,0.00
86acg6bwa,Club Gás,45855047000175,Creators Pontual - Starter,0.00,,0,0.00
86a7hkgjd,Mar Cadernos,46176917000142,CRO Pontual,0.00,1745118000000,360,0.00
86a5qd18q,Protect Pet,46325397000192,Arte embalagem e Totem,0.00,1751684400000,284,0.00
86a613mmh,Protect Pet,46325397000192,Ecommerce,0.00,1751684400000,284,0.00
86a52x0d6,Protect Pet,46325397000192,Creators Scale,0.00,1751684400000,284,0.00
86afchkzf,Bready,47246066000120,Creators Pontual Personalizado,0.00,,0,0.00
86afchkzf,Bready,47246066000120,Creators Pontual Personalizado,0.00,1764903600000,131,0.00
86afchkzf,Bready,47246066000120,Creators Pontual Personalizado,0.00,,0,0.00
86a83r8dt,OATZ,47366383000180,Creators Pontual,0.00,,0,0.00
86a64rjyq,Taan Swim,47775687000109,CRO,0.00,,0,0.00
86a63j2ah,Hoomy,47790147000196,Creators Scale,0.00,,0,0.00
86a6n7hed,Webleilões ,48122200000143,CRO Pontual,0.00,1754881200000,247,0.00
86ab2dr2u,Instituto Versalles,48159042000104,Agente de IA,0.00,1755226800000,243,0.00
86a8d6trr,Instituto Versalles,48159042000104,Apostila,0.00,1755226800000,243,0.00
86a6hpkjp,Perin & Lima Construção,48206333000106,Site Institucional,0.00,1751684400000,284,0.00
86a644tpr,Vitamer,48401057000129,Gameplan,0.00,1749783600000,306,0.00
86a644u1v,Vitamer,48401057000129,Ecommerce,0.00,1749783600000,306,0.00
86a4mv4rq,Vitamer,48401057000129,Creators,0.00,1749783600000,306,0.00
86ac6c953,Cura da Alma ,48440891000123,Creators Pontual - Enterprise,0.00,,0,0.00
86aagkqk0,Black Hype,48464841000186,Creators Pontual,0.00,1753844400000,259,0.00
86a69u0qe,Brutali,48472811000111,CRM,0.00,1754362800000,253,0.00
86a6ba235,Brutali,48472811000111,Ecommerce,0.00,1754362800000,253,0.00
86a63m9xr,Nuture,48546905000198,Pacote de Criativos,0.00,,0,0.00
86a6412cd,Ju Markan Brand,48694444000281,Automações Email & Wpp,0.00,1736910000000,455,0.00
86a64126p,Ju Markan Brand,48694444000281,CRO,0.00,1736910000000,455,0.00
86a91xa0r,Foco Pill,48821970000184,Creators Pontual,0.00,1766199600000,116,0.00
86a9g3wvk,Bee Vacinas,48995111000101,Creators Pontual,0.00,1765335600000,126,0.00
86a6u3vqa,Rosa Latina,49038349000101,Rótulos,0.00,1749092400000,314,0.00
86a5xrkmc,Rosa Latina,49038349000101,ID Visual,0.00,1749092400000,314,0.00
86a63n5cy,Rosa Latina,49038349000101,Ecommerce,0.00,1749092400000,314,0.00
86a7b7p97,Rosa Latina,49038349000101,Rótulos,0.00,1749092400000,314,0.00
86abd6de3,Sabor de Família Congelados,49090735000142,Creators Pontual [sabor de família],0.00,1758337200000,207,0.00
86a63ypme,Spazzio Itaparica,49180320000160,Landing Page,0.00,,0,0.00
86ac9twug,Balmo Project,49183673000113,CRO,0.00,1768878000000,85,0.00
86abbqeyw,Planttcê,49231088000141,Creators Pontual,0.00,1757905200000,212,0.00
86a643511,Livealoe,49357964000180,Automações Reportana,0.00,1757646000000,215,0.00
86a6a5fp3,Otti,49475782000104,Ecommerce,0.00,1744945200000,362,0.00
86a4uy2uy,Zugus,49526584000122,Creators Scale,0.00,1736650800000,458,0.00
86a4uy2ur,Zugus,49526584000122,Reportana Whatsapp,0.00,1736650800000,458,0.00
86a5vb974,Enrolaê,49758173000162,ID Visual,0.00,1752116400000,279,0.00
86abuynum,DELICIOUS HEALTHY,49861119000148,Gameplan,0.00,1764817200000,132,0.00
86abuehfp,DELICIOUS HEALTHY,49861119000148,Creators Pontual,0.00,1764817200000,132,0.00
86acndvxb,Pulpo Moda Infantil ,49939784000107,Creators Pontual - Scale,0.00,1762743600000,156,0.00
86a6r3c2y,Maker ,50006604000113,Gameplan,0.00,1755831600000,236,0.00
86a61k27u,Infinite To Be,50183835000100,Ecommerce,0.00,1758337200000,207,0.00
86a6b93du,Audax,50214045000137,Ecommerce,0.00,1757041200000,222,0.00
86aaz2rkr,Health Drinks - Blubs,50720373000105,Ecommerce,0.00,,0,0.00
86a690528,Fisiotherapy,50918306000108,Creators,0.00,1737428400000,449,0.00
86a9gqfp9,Mellow,50999099000155,Creators Pontual,0.00,1762484400000,159,0.00
86ac446q4,LifeBox,51117955000164,Creator Starter (Personalizado),0.00,1763780400000,144,0.00
86a2315ke,Vertex,51189591000128,Catalogo,0.00,,0,0.00
86a2315ke,Vertex,51189591000128,Catalogo,0.00,,0,0.00
86a64tek3,Ativos Precatórios,51221966000190,Landing Page,0.00,1751598000000,285,0.00
86aehz5t7,Instituto Prosperar,51299031000126,Landing Page,0.00,1768878000000,85,0.00
86abuvn7v,Souly,51313845000178,Creators,0.00,1766199600000,116,0.00
86a5ajmk5,Dot,51326710000147,ID Visual,0.00,1768878000000,85,0.00
86a7cf3ve,Dot,51326710000147,Ecommerce,0.00,1768878000000,85,0.00
86a61wefy,Dot,51326710000147,Ecommerce,0.00,1768878000000,85,0.00
86acmaahx,25 Nós,51348915000123,Creators Pontual - Starter,0.00,1764039600000,141,0.00
86a4px7pv,Isup,51486730000185,Creators,0.00,,0,0.00
86a641y6t,Isup,51486730000185,Ecommerce,0.00,,0,0.00
86accmwph,boxershop,51555649000100,Creators Pontual,0.00,,0,0.00
86abnucdb,Kilão da Roça,51560940000176,Identidade Visual - Enterprise,0.00,1758337200000,207,0.00
86ac986a4,Divinnah Gaia,51678226000187,Creators Pontual - Starter,0.00,1762311600000,161,0.00
86a6kkw37,Dolce Fit,51822715000160,Ecommerce,0.00,1746154800000,348,0.00
86a64n2bb,Tannk,51828373000196,Ecommerce,0.00,1740020400000,419,0.00
86a64n2by,Tannk,51828373000196,CRO,0.00,1740020400000,419,0.00
86abhwu9e,TNT ,51955794000188,Personalizado Pontual,0.00,1757041200000,222,0.00
86ab91gt3,TNT ,51955794000188,Creators Pontual,0.00,1757041200000,222,0.00
86a609fcg,Patta,52058363000181,Ecommerce,0.00,1748142000000,325,0.00
86a7yv194,Open Energias,52059517000150,Site Institucional,0.00,,0,0.00
86a63pax5,Sou wash,52068424000191,Ecommerce,0.00,,0,0.00
86a7umm3a,Paceit,52103940000100,Ecommerce,0.00,1753585200000,262,0.00
86a4t2g02,Actus,52153042000166,Apresentação,0.00,,0,0.00
86abckf41,Intimia,52299946000102,Creators Pontual,0.00,1770260400000,69,0.00
86abckf1x,Intimia,52299946000102,E-commerce,0.00,1770260400000,69,0.00
86a60cnpa,Beleza do Futuro,52505247000163,ID Visual,0.00,1769050800000,83,0.00
86ab2375h,Zero Bala (Silueta),52511246000121,Social Media,0.00,,0,0.00
86ab2375h,Zero Bala (Silueta),52511246000121,Social Media,0.00,1740625200000,412,0.00
86aarjrub,Melt Fizz,52588535000129,Creators Pontual,0.00,,0,0.00
86abh9r4e,Guxiê,52715850000170,Landing Page,0.00,1757041200000,222,0.00
86aaukqdr,RE9C,52732031000130,Ecommerce,0.00,1755658800000,238,0.00
